community,mode,money,place,type1
雅居乐花园,整租 | 雅居乐大三房 7米大阳台 全新家具电 业主好讲话 拧,2000,源城城区,3室     128㎡
雅居乐花园,整租 | 雅居乐精装一房，拎包入住,1500,源城城区,1室     61㎡
沁园春晓,整租 | 公园西 沁园春晓 简约精装标准一房一厅 拎包入住,900,源城城区,1室     50㎡
碧桂园东江凤凰城,整租 | 碧桂园 精装两房 中高层 户型方正 1300元月,1300,源城城区,2室     90㎡
雅居乐花园,整租 | 1400元租雅居乐花园1房1厅1卫精装修带家私家电,1400,源城城区,1室     51㎡
坚基公馆,整租 | 市中心 坚基公馆 精美一房 家私电齐全 拧包入住,1100,源城城区,1室     45㎡
雅居乐花园,整租 | 雅居乐精装三房仅租2000元，即可拎包入住,2000,源城城区,3室     93.36㎡
雅居乐花园新地,整租 | 雅居乐新地3房2厅1卫精装修带家私家电出租2300元,2300,源城城区,3室     81㎡
雅居乐花园,整租 | 找租房的看过来，雅居乐精装小三房仅租2100元,2100,源城城区,3室     91.08㎡
运恒花园,整租 | 长期房出租 旺源路48号喜发公寓 月租房 超大亮房,500,源城城区,1室     36㎡
雅居乐花园,整租 | 雅居乐花园三房两卫，拎包入住，仅租2000,2000,源城城区,3室     124㎡
文景小区,整租 | 文景小区 4室2厅2卫,1200,源城城区,4室     126㎡
雅居乐花园,整租 | 出租坚基商圈雅居乐一期三房，家私家电齐全，拎包入住,2000,源城城区,3室     94㎡
金华花园,整租 | 金华花园 3室2厅1卫,1500,龙川城区,3室     110㎡
金色领地,整租 | 可短租 可押一付一 大量金色领地精装一房出租,650,源城城区,1室     33㎡
雅居乐花园,整租 | 雅居乐花园 4室2厅2卫,3200,源城城区,4室     158㎡
义乌小商品批发城,整租 | 火车站 义乌商贸城公寓 一房一厅一卫 包物业1000,1000,源城城区,1室     38㎡
,整租 | 源城 1室1厅1卫,550,源城,1室     38㎡
阳光星座,整租 | 火车站义乌附近电梯房阳光星座复式一房一厅900可谈押,900,源城城区,1室     43㎡
,整租 | 源城城区 1室厅1卫,220,源城城区,1室     16㎡
坚基公馆,整租 | 多套坚基公馆一套一厅出租租1300元月,1300,源城城区,1室     43.12㎡
邦达新村,整租 | 邦达新村 3室2厅2卫,1500,源城城区,3室     130㎡
坚基公馆,整租 | 坚基公馆三房视野好安静,2800,源城城区,3室     90㎡
江景华庭,整租 | 江景华庭 1室1厅1卫,900,源城城区,1室     36㎡
雅居乐花园,整租 | （超实惠雅居乐两房）家私电齐全，简单温馨，租金140,1400,源城城区,2室     74㎡
坚基美丽城,整租 | 坚基美丽城 3室2厅2卫,2500,源城城区,3室     94㎡
广晟学府花园汇博苑,整租 | 大学城学府花园汇博苑电梯精装拎包入住朝南,1700,源城城区,2室     78㎡
东江豪苑,整租 | 东江豪苑 2室2厅1卫,1399,源城城区,2室     85.80㎡
碧桂园凤雅苑,整租 | 碧桂园凤雅苑 4室2厅2卫 3300元月 130平,3300,源城城区,4室     120㎡
臻和院,整租 | 臻和院 1室厅1卫,270,源城城区,1室     30㎡
丰泽都市名苑,整租 | 丰泽都市名苑 4室2厅2卫 2300元月 电梯房 精,2300,源城城区,4室     170㎡
,整租 | 龙川 1室厅1卫,400,龙川,1室     16㎡
坚基美好嘉园,整租 | 坚基旁全新单间有冰箱洗衣机可做饭有网络押一付一600,600,源城城区,1室     30㎡
华业苑,整租 | 华业苑 3室2厅2卫,2000,源城城区,3室     146㎡
雅居乐御宾府,整租 | 包物业！包车位！ 雅居乐御宾府 精装修三房两厅 拎包,3000,源城城区,3室     105㎡
河源大道北117号住宅楼,整租 | 河源大道北117号住宅楼 1室厅1卫,800,源城城区,1室     35㎡
运恒花园,整租 | 长期房出租 旺源路48号喜发公寓 月租房 超大亮房,500,源城城区,1室     36㎡
江泮花城,整租 | 江泮花城 3室2厅1卫,1600,源城城区,3室     92㎡
坚基公馆,整租 | 坚基附近民房出租空调网络步梯五楼押一付一500大量停,499,源城城区,1室     49㎡
百利保花园,整租 | 百利保花园 3室2厅1卫,1100,龙川城区,3室     131㎡
沁园春晓,整租 | 沁园春晓一房单间，租金900，家私家电齐全 拎包入住,900,源城城区,1室     40㎡
东悦华庭,整租 | 东悦华庭 2室1厅1卫,750,源城城区,2室     68㎡
御福花园(源城),整租 | 万隆商圈，御福花园4房两厅两卫出租3000元,3000,源城城区,4室     170㎡
丽日中心城,整租 | 丽日中心城 1室1厅1卫,1500,源城城区,1室     60㎡
铭成花园,整租 | 客家公园旁 铭成花园 精装3室2厅2卫 2200元一,2200,源城城区,3室     115㎡
文昌花园,整租 | 出租文昌花园 精装3房2卫 家私电齐全拎包入住200,2000,源城城区,3室     101㎡
绿苑,整租 | 市一小中 茶山公园 绿苑小区 三房 家私电器齐全,1500,源城城区,3室     100㎡
金色领地,整租 | 金色领地两房有多套租金1000起家私家电齐全拎包入住,1000,源城城区,2室     79㎡
长鸿花园,整租 | 文化广场旁 长鸿花园 精装修大四房 拎包入住 仅租2,2300,源城城区,4室     138㎡
雅居乐花园,整租 | 大量雅居乐一房一厅家私电齐全 拎包入住常驻附近 看房,1200,源城城区,1室     58㎡
润隆居(源城),整租 | 火车站附近 润隆居 电梯大三房二厅二卫 租1800,1800,源城城区,3室     120㎡
邦达新村,整租 | 河紫路邦达新村大三房出租，1400元！,1400,源城城区,3室     130㎡
汇景外滩8号,整租 | 汇景外滩8号 3室2厅2卫 3000元月 配套齐全,3000,源城城区,3室     106㎡
雅居乐花园新地,整租 | 雅居乐新地欧式三房两厅视频实拍房源近坚基客家公园18,1800,源城城区,3室     117㎡
名仕家园,整租 | 名仕家园精装3房 家私电齐全 拎包入住 仅租1600,1600,源城城区,3室     112㎡
雅居乐花园,整租 | 雅居乐花园 3室2厅1卫,1800,源城城区,3室     120㎡
文景小区,整租 | 文景小区 3室2厅1卫 900元月 精装修 89平,900,源城城区,3室     89㎡
高岭顶安置小区,单间 | 高岭顶安置小区 1室1厅1卫,700,源城城区,主卧(1室)     45㎡
华达凯旋国际,整租 | 出租 凯旋国际精装3房2卫 南北通 家私电齐全拎包入,2600,源城城区,3室     110㎡
方圆月岛首府,单间 | 方圆月岛首府 4室2厅3卫,1500,紫金城区,次卧(4室)     10㎡
坚基公馆,整租 | 出租多套 坚基公馆 雅居乐花园 恒大名都 2房 3房,1600,源城城区,2室     85㎡
金色领地,整租 | 金色领地 2室1厅1卫,1300,源城城区,2室     66㎡
恒大名都,整租 | 坚基商圈，恒大名都附近青年公寓,600,源城城区,1室     35㎡
万隆城,整租 | 万隆城 1室1厅1卫,1700,源城城区,1室     43.22㎡
汇龙小区,整租 | 高档装修，光线好，房子新，没有空调，租金便宜,1000,龙川城区,4室     105㎡
安逸苑,整租 | 安逸苑 3室2厅2卫,1200,源城城区,3室     117㎡
幸福小区,整租 | 幸福小区 1室1厅1卫 500元月 30平 精装修,500,源城城区,1室     29㎡
凤馨苑,整租 | 凤馨苑 4室2厅2卫,2500,源城城区,4室     138㎡
和平1号花园,整租 | 出租和平一号电梯中高层，三房两厅，带家具家电，拎包入,1500,和平城区,3室     100㎡
裕隆花园,整租 | 裕隆花园 3室2厅2卫,1700,源城城区,3室     125㎡
龙川碧桂园,整租 | 碧桂园一期4房家私家电齐全出租,3000,龙川城区,4室     143㎡
源江豪庭,整租 | 源江豪庭 2室1厅1卫,950,东源城区,2室     50㎡
龙川碧桂园,整租 | 碧桂园一期三房空房出租,1600,龙川城区,3室     117㎡
碧桂园东江凤凰城,整租 | 碧桂园东江凤凰城 4室2厅2卫,2000,源城城区,4室     167㎡
永福小区,整租 | 永福小区3房2厅市二中市二小就在旁边.交通方便精装.,1000,源城城区,3室     100㎡
,整租 | 连平 2室1厅1卫,1300,连平,2室     82㎡
雅居乐花园(别墅),整租 | 坚基旁，雅居乐温馨2房，朝南采光好，有钥匙，家电齐全,1650,源城城区,2室     75.0㎡
浩创花语城,单间 | 浩创花语城 1室1厅1卫,1600,东源城区,其他(1室)     43㎡
东江豪庭,整租 | 维也纳酒店附近有多套电梯单间一房一厅，两房一厅拎包入,600,龙川城区,1室     20㎡
家和大厦,整租 | 家和大厦 3室2厅2卫,1500,龙川城区,3室     93㎡
香堤雅湾,整租 | 高新区 香堤雅湾三房两卫两卫 江景房 租金便宜 仅1,1400,源城城区,3室     126㎡
翡翠星城,整租 | 翡翠星城 1室1厅1卫,1000,源城城区,1室     46㎡
明珠华庭,整租 | 实拍老城明珠华庭精装一房 带电梯家电齐全,800,源城城区,1室     36㎡
宝豪御龙湾二期,整租 | 宝豪御龙湾二期 3室2厅2卫,2500,源城城区,3室     106㎡
雅居乐花园,整租 | （真实在租）出租雅居乐花园温馨两房，1600包物业，,1600,源城城区,2室     61㎡
,整租 | 源城 1室厅1卫,400,源城,1室     25㎡
康德名都,整租 | 客家公园旁康德名都3房2厅2卫出租仅2600包物业,2600,源城城区,3室     115㎡
坚基公馆,整租 | 坚基公馆 1室0厅1卫,1400,源城城区,1室     38.33㎡
雅居乐花园新地,整租 | 雅居乐豪华5房出租，全新家私电器,3800,源城城区,5室     144.48㎡
俊园轩,整租 | 俊园轩大3房步梯中层 精装拎包入住 保养新,1700,东源城区,3室     126㎡
雅居乐花园,整租 | 雅居乐花园 3室2厅1卫,1800,源城城区,3室     93㎡
茶园小区,整租 | 市一小两房出租，带家私家电，拎包入住,1000,源城城区,2室     35㎡
万隆一品,整租 | 万隆一品 4室2厅2卫,2500,源城城区,4室     120㎡
坚基公馆,整租 | 坚基公馆两房出租两房两厅出租,2700,源城城区,2室     90㎡
,整租 | 源城 2室1厅1卫,1200,源城,2室     70㎡
万家和商住楼,整租 | 老城学生路整栋出租 近城南小学 近市场 交通方便,1000,源城城区,5室     120㎡
雅居乐花园,整租 | 雅居乐花园 3室2厅1卫,2300,源城城区,3室     98㎡
恒大名都,整租 | 多套恒大名都1 2 3 4 房出租 1300到230,1300,源城城区,1室     58㎡
锦绣名雅,整租 | 锦绣名雅 2室1厅1卫,1300,源城城区,2室     98㎡
骏景花园(龙川),整租 | 出租骏景花园全新四房两厅。,2500,龙川城区,4室     139㎡
碧桂园东江凤凰城,整租 | 碧桂园东江凤凰城 4室2厅2卫,2300,源城城区,4室     167㎡
和平中心花园,整租 | 出租，中心花园步梯2楼，三房两厅，带家具家电，拎包入,1100,和平城区,3室     120㎡
,整租 | 隆兴路 3室2厅2卫,900,龙川,3室     90㎡
碧桂园凤凰湾,整租 | 想有私家露台欣赏美丽的东江吗想拥有阳光房吗凤凰湾帮你,4200,源城城区,4室     153㎡
汇福楼,整租 | 汇福楼 2室1厅1卫,700,和平城区,2室     64㎡
凤馨苑,整租 | 碧桂园凤馨苑 温馨四房2500月 家私电器齐全拎包入,2500,源城城区,4室     148㎡
广晟学府花园,整租 | 广晟学府花园 3室2厅2卫,1700,源城城区,3室     103㎡
东方比华利山庄,整租 | 比华利山庄精装三房两天两卫，家私电齐全，直接拎包入住,1300,源城城区,3室     100㎡
检察院宿舍,整租 | 检察院宿舍 5室2厅2卫,1900,源城城区,5室     220㎡
万绿商业广场,整租 | 出租 高新区万绿广场 两房 家电齐全 拎包入住 仅租,600,源城城区,2室     51㎡
碧桂园东江凤凰城,整租 | 碧桂园东江凤凰城 3室2厅2卫,1800,源城城区,3室     120㎡
星荟公馆,整租 | 万达广场附近 全新欧式简约风格 有多套单间便宜出租,900,源城城区,1室     23㎡
金色雅筑,整租 | 金色雅筑 3室1厅2卫,750,源城城区,3室     80㎡
和平碧桂园,整租 | 高档小区碧桂园4房2厅，精装修，家具家电齐全 拎包入,2400,和平城区,4室     140㎡
,整租 | 源城 3室2厅1卫,750,源城,3室     100㎡
恒大名都,整租 | 每月1700元 入住恒大名都1房1厅,1700,源城城区,1室     41㎡
世纪年华,整租 | 世纪年华 2室4厅1卫,2500,源城城区,2室     127㎡
雅居乐花园,整租 | 雅居乐三房全新家私家电租1800,1800,源城城区,3室     112㎡
俊园轩,整租 | 俊园轩 3室2厅2卫,1699,东源城区,3室     125㎡
雅居乐花园,整租 | 出租雅居乐新地精装三房两厅一卫，仅租2000元,2000,源城城区,3室     91.25㎡
华达凯旋国际,整租 | 华达凯旋国际 2室1厅1卫,2100,源城城区,2室     75㎡
龙光玖龙府,整租 | 真实 玖珑府四房全新家私电，拧包入住，高楼层，视野好,2999,源城城区,4室     128㎡
朱门亭,单间 | 朱门亭 1室0厅1卫,350,源城城区,其他(1室)     15㎡
宝晟城,整租 | 宝晟城 3室2厅2卫 2500元月 电梯房 精装修,2500,东源城区,3室     130㎡
金色领地,整租 | 超值两房，万隆城旁金色领地复式两房，家私电齐全，租金,800,源城城区,2室     60㎡
,整租 | 上城环西路 2室2厅1卫,750,源城,2室     74.90㎡
雅居乐花园,整租 | 出租！！雅居乐花园精装三房含物业出租2180！！,2180,源城城区,3室     80㎡
广晟学府花园汇博苑,整租 | 广晟学府花园汇博苑 2室1厅1卫,1500,源城城区,2室     75㎡
金蓬美域,整租 | 金蓬美域 家私电齐全，直接拎包入住 市中心地段,2200,源城城区,3室     100㎡
大同南路住宅,整租 | 大同南路住宅 1室0厅1卫,400,源城城区,1室     30㎡
兴泰花园,整租 | 兴泰花园带空中花园，两房两厅带一个露天车位。,1800,龙川城区,2室     110㎡
友诚花园,整租 | 友诚花园 1室厅1卫,400,源城城区,1室     35㎡
理想家园,整租 | 万达旁 理想家园4室2厅2卫 3000元月 家私电器,3000,东源城区,4室     135㎡
,整租 | 源城 3室2厅2卫,1000,源城,3室     110㎡
恒大名都,整租 | 美式风格 恒大名都精美一房一厅 家私家电齐全 拎包入,1598,源城城区,1室     57㎡
雅居乐花园,整租 | 雅居乐花园 2室1厅1卫,1800,源城城区,2室     73㎡
翡翠星城,整租 | 潘多拉对面翡翠星城 1室1厅1卫800元月电梯房随时,800,源城城区,1室     43㎡
金源小区,整租 | 金源小区 6室3厅4卫,3500,源城城区,6室     260㎡
御水花园,整租 | 龙湖百里香附近电梯房中高层，3房保养新光线好，拎包入,1300,和平城区,3室     100㎡
,整租 | 源城 3室1厅1卫,950,源城,3室     78㎡
龙光玖龙府,整租 | 玖龙府 精装修4房2厅 拎包入住,3000,源城城区,4室     129㎡
民乐楼,整租 | 民乐楼 2室1厅1卫,800,源城城区,2室     70㎡
碧桂园东江凤凰城,整租 | 碧桂园凤翔苑 温馨两房 小巧玲珑 1800月 拎包入,1800,源城城区,2室     86㎡
高岭顶安置小区,整租 | 高岭顶安置小区 1室厅1卫,600,源城城区,1室     25㎡
翡翠星城,整租 | 翡翠星城 2室2厅1卫 1800元月 电梯房 精装修,1800,源城城区,2室     86㎡
,整租 | 和平县 3室2厅1卫,500,和平县,3室     85㎡
时代花园,整租 | 欧式装修 时代花园 三房两厅 家私电齐全 拎包入住,2500,源城城区,3室     130㎡
翡翠星城,整租 | 翡翠星城 3室2厅2卫,2200,源城城区,3室     123㎡
碧桂园东江凤凰城,整租 | 碧桂园凤凰城 电梯2房2厅 仅1500可拎包入住,1500,源城城区,2室     87㎡
骏景花园(源城),整租 | 骏景花园(源城) 3室 2厅2卫,2000,源城城区,3室     105㎡
恒大名都,整租 | 恒大名都 3室2厅2卫 2900元月 欧式风格 配套,2900,源城城区,3室     117㎡
,整租 | 源城 1室1厅1卫,1500,源城,1室     54㎡
雅居乐花园新地,整租 | 雅居乐花园新地 3室2厅1卫 2300元月 电梯房,2300,源城城区,3室     100㎡
,整租 | 旺源路七天洒店附近人人乐文化广场 1室0厅1卫,750,源城,1室     28㎡
万隆城,整租 | 万隆城丽枫公寓出租多套温馨一房，家私电齐全 1200,1200,源城城区,1室     40㎡
润隆居(源城),整租 | 润隆居(源城) 4室2厅2卫,2000,源城城区,4室     115㎡
金色领地,整租 | 出租多套金色领地单间，家私电齐全，租金600至800,600,源城城区,1室     30㎡
碧洋居,整租 | 碧洋居 2室1厅1卫,600,源城城区,2室     50㎡
家和水岸沁园,整租 | 出租水岸泌园后面三房月租1000,1000,龙川城区,3室     100㎡
雅香苑,整租 | 新城小学附近三楼四房二厅精装修带家私家电1500元月,1500,龙川城区,4室     138㎡
德润世家,整租 | 德润世家 3室2厅2卫,2000,源城城区,3室     123㎡
河源广场,整租 | 市政府附近，凯丰路，河源广场，电梯三房。家电齐全，拎,1700,源城城区,3室     105㎡
虹景小区,整租 | 虹景小区 2室1厅1卫,850,源城城区,2室     75㎡
十里东岸,整租 | 高铁东站，华南城，十里东岸，全新三房，家电齐全，拎包,2300,紫金城区,3室     110㎡
铂雅苑金麟府,整租 | 铂雅苑金麟府 2室2厅1卫,1300,源城城区,2室     100㎡
恒大名都,整租 | （恒大名都）稀有欧式三房 坚基商圈 高层 拎包入住,2000,源城城区,3室     102.0㎡
,整租 | 梧峰大道 1室1厅1卫,550,紫金,1室     30㎡
相印花园,整租 | 老城803车站，周边生活配套出行十分方便，幼儿园到高,1100,龙川城区,4室     110㎡
雅居乐花园,整租 | 雅居乐花园 3室2厅1卫,2000,源城城区,3室     95㎡
金色领地,整租 | 金色领地 1200两房 有电梯拎包入住,1200,源城城区,2室     40㎡
民旺小区,整租 | 民旺小区 1室0厅1卫,450,源城城区,1室     30㎡
御水花园,整租 | 御水花园四房两厅，精装修，带家具家电，拎包入住。,2500,和平城区,4室     130㎡
黄石岭小区,整租 | 黄石岭小区 3室2厅2卫,1000,源城城区,3室     100㎡
华达凯旋国际,整租 | 建设大道凯旋国际温馨大三方出租 拎包入住家电齐全 近,2800,源城城区,3室     124㎡
碧桂园东江凤凰城,整租 | 碧桂园东江凤凰城 3室2厅1卫,1600,源城城区,3室     90㎡
长城华景苑,整租 | 华景苑三房两厅家私家电齐全2500元,2500,龙川城区,3室     120㎡
雅居乐花园,整租 | 雅居乐花园 2室2厅1卫,1900,源城城区,2室     76㎡
雅居乐花园新地,整租 | 雅居乐新地3房2厅1卫,2000,源城城区,4室     92㎡
锦绣家园,整租 | 锦绣家园 4室2厅2卫,900,龙川城区,4室     125㎡
嘉源楼,整租 | 火车站附近2室1厅1卫 500元月 精装修,500,源城城区,2室     50㎡
,整租 | 东江大道 2室1厅1卫,900,东源,2室     65㎡
怡景云天,整租 | 怡景云天 3室2厅2卫 1699元月 精装修 配套齐,1699,源城城区,3室     133㎡
广晟学府花园,整租 | 广晟学府花园 1室1厅1卫,700,源城城区,1室     30㎡
雅居乐花园新地,整租 | 雅居乐新地 全新电梯2房2厅吉屋出租 也可配齐家私电,1200,源城城区,2室     72㎡
骏景花园(源城),整租 | 骏景花园(源城) 3室2厅2卫,1800,源城城区,3室     108㎡
金色领地,整租 | 可押一付一 实拍大量金色精装一房 可做饭,700,源城城区,1室     35㎡
万隆一品,整租 | 万隆一品 3室2厅2卫,2500,源城城区,3室     118㎡
雅居乐花园(别墅),整租 | 雅居乐，精装大两房，家具家电全配，繁华交通便利，多套,1799,源城城区,2室     72㎡
丰源新村,整租 | 丰源新村 3室1厅2卫,780,源城城区,3室     90㎡
丽日中心城,整租 | （丽日中心城）江景单身公寓 只要1200有钥匙 家私,1200,源城城区,1室     34.0㎡
,整租 | 龙川 3室2厅1卫,750,龙川,3室     100㎡
福新大厦,整租 | 1600拎包即住，租火车站附近三房,1600,源城城区,3室     82㎡
新达居,整租 | 新达居 3室2厅2卫,1700,源城城区,3室     98㎡
雅居乐花园新地,整租 | 首租，雅居乐新地 4房2厅2卫 2800元月,2800,源城城区,4室     130㎡
俊园轩,整租 | 万达附俊园轩花园，大3房126平方，东南朝向，步梯中,1600,东源城区,3室     125㎡
碧桂园凤雅苑,整租 | 一线江景房！3房2厅仅需1700即可入住碧桂园五星的,1600,源城城区,3室     90㎡
比华利山庄,整租 | 比华利山庄 豪华装修 二房二厅 家私电齐全 拎包入住,1800,源城城区,2室     85㎡
金蓬美域,整租 | 金蓬美域 3室2厅2卫 2200元月 配套齐全,2200,源城城区,3室     106㎡
恒基大厦,整租 | 旺源路单间出租 租金300元押一,280,源城城区,1室     50㎡
旺福小区,整租 | 时代住宿，长期房，临时房，月租房，家具齐全，拎包入住,480,源城城区,1室     35㎡
顺和新苑,整租 | 1000块拎包即住南开学校隔壁顺和新苑大2房，家私家,1000,源城城区,2室     87㎡
宝晟城,整租 | 宝晟城附件新房拎包入住月租2000元,2000,东源城区,3室     85㎡
香堤雅湾,整租 | 香堤雅湾84平米电梯2房出租，抓紧时间，随时看房,1500,源城城区,2室     84㎡
百信梧桐嘉园,整租 | 河紫路，东环路，百信梧桐嘉园旁，华峰国际汽配城，全新,2000,紫金城区,3室     105㎡
丽日中心城,整租 | 丽日中心城 欧式 看江景 一房 租1200,1200,源城城区,1室     35㎡
泰和江畔城市主场,整租 | 万达旁泰和江畔3房出租，包物业,2500,源城城区,3室     99㎡
凤馨苑,整租 | 仅1800月租！碧桂园凤馨苑天誉苑区三房两厅两卫，朝,1800,源城城区,3室     107㎡
华达新城,整租 | 华达新城 4室2厅2卫 3300元月 豪华装修 南北,3300,源城城区,4室     147㎡
龙川碧桂园,整租 | 碧桂园大户型5房出租家私家电配齐,4800,龙川城区,5室     240㎡
绿苑,整租 | 一小附近，绿苑小区精装3房2厅，领包入住,1500,源城城区,3室     90㎡
希尔顿公馆,整租 | 整租出租多套希尔顿公馆一房两房 家私电齐全,1200,源城城区,1室     34㎡
恒大名都,整租 | 近坚基豪华装修恒大名都仅租1700起,1700,源城城区,2室     74㎡
世纪年华,整租 | 坚基 世纪年华宽敞3房2厅 电梯家私齐全拎包入住即可,2800,源城城区,3室     125㎡
德润东方银座,整租 | 建设大道 东方银座 瓷片上墙800家电齐全拎包入住随,800,源城城区,1室     45㎡
恒大名都,整租 | 豪华装修恒大名都仅租2000,2000,源城城区,2室     74.00㎡
河源美的城,整租 | 东江中学旁，河源实验学校，美的城，三房，空房出租。,1200,东源城区,3室     105㎡
恒大名都,整租 | 恒大名都 精装一房一厅 家电家私全齐 月租1,1500,源城城区,1室     51㎡
沁园春晓,整租 | 出租沁园春晓，2房2厅，精装修，拎包入住，家私电器齐,1799,源城城区,2室     100㎡
怡景云天,整租 | 万隆城旁 怡景云天 办公适用4房2厅 办公居家拎包入,2500,源城城区,4室     160㎡
沁园春晓,整租 | 中心一号 沁园春晓 简欧精装一房一厅 来电即看,800,源城城区,1室     50㎡
丽格雅苑,整租 | 丽格雅苑，瓷砖上墙4房2厅140平方向南,2200,东源城区,4室     140㎡
坚基公馆,整租 | 坚基商圈 可押一付一 有冰箱洗衣机空调热水器网络 6,600,源城城区,1室     45㎡
万绿商业广场,整租 | 万绿广场大单间350元,350,源城城区,1室     42㎡
大塘安置小区,整租 | 高新区大塘小学旁边，三房二厅二卫出租，出租,1500,源城城区,3室     108㎡
雅居乐花园,"整租 | 雅居乐二期精装两房,带齐家私电器,采光好,急租160",1600,源城城区,2室     76㎡
华达凯旋国际,整租 | 多套万隆商圈 凯旋国际 2 3 4房出租,1800,源城城区,3室     128㎡
金色领地,整租 | 可短租金色领地小单间租金350元可短租三个月押一付一,300,源城城区,1室     20㎡
雅居乐花园,整租 | 雅居乐四房空租白菜价,1800,源城城区,4室     120㎡
恒大名都,整租 | 恒大名都 欧式风格电梯3房2厅2卫 宽敞舒适拎包入住,2100,源城城区,3室     120㎡
康德名都,整租 | 康德名都 3室2厅2卫 拎包入住 电梯房 115平,2500,源城城区,3室     115㎡
碧桂园东江凤凰城,整租 | 碧桂园3房第一次出租 中间楼层望别墅靓房 家私电全齐,1800,源城城区,3室     115㎡
万绿商业广场,整租 | 高新区万绿广场 三新百货旁 2房仅租700元月 有空,700,源城城区,2室     45㎡
希尔顿公馆,整租 | 希尔顿公馆多套一房出租，平层复式都有，价格1400起,1400,源城城区,1室     60㎡
华达凯旋国际,整租 | 凯旋城三房二厅二卫岀租,2600,源城城区,3室     103㎡
龙光城,整租 | 龙光城 三房两厅 全新未入住,1500,源城城区,3室     108.0㎡
万隆城,整租 | 急租万隆城楼下安群小区三房1600出租，拎包入住~~,1600,源城城区,3室     79.00㎡
星光源江学苑,整租 | 星光源江学苑 4房3卫 临近城 新房出租,2600,东源城区,4室     158㎡
旺福小区,整租 | 本人房东精装修出行方便，位置好，,600,源城城区,1室     40㎡
德欣豪庭,整租 | 德欣豪庭 3室2厅2卫 2000元月 拎包入住，看房,2000,源城城区,3室     125㎡
恒大名都,整租 | 恒大名都 坚基欧式风格 3房2厅2卫 拎包入住,2100,源城城区,3室     122㎡
碧桂园东江凤凰城,整租 | 2000元拎包入住碧桂园凤翔精装修三房,2000,源城城区,3室     116㎡
碧桂园东江凤凰城,整租 | 1000至2500元租碧桂园精装2至5房空房出租近市,1000,源城城区,3室     107.0㎡
西岸悦湾,整租 | 出租西岸悦湾小区3房月租2500,2500,龙川城区,3室     115㎡
东江首府,整租 | 出租漂亮大三房，全屋精装 保养新看房方便 业主很好,2900,源城城区,3室     159㎡
浩创花语城,整租 | 东源高速出口附近 精装一房 家私齐全 拎包入住,1500,东源城区,11室     46㎡
雅居乐花园新地,整租 | 雅居乐新地，三房，空房出租，有洗衣机，热水器，沙发,1500,源城城区,3室     97㎡
坚基公馆,整租 | 坚基商圈 坚基公馆 电梯房 浪漫情侣房,1200,源城城区,1室     34.00㎡
德润华府,整租 | 德润华府 三房两厅 家私电齐全 拎包入住 仅租2,2200,源城城区,3室     118㎡
丽日中心城,整租 | 丽日中心城 2室2厅1卫 看江景,1500,源城城区,2室     113.0㎡
万隆一品,整租 | 万隆一品 温馨二房 家电家私全齐 租1900,1900,源城城区,2室     86㎡
万厦虹景花园,整租 | 万厦虹景 大2房 家电齐全 拎包入住 看房方便,1500,源城城区,2室     92㎡
碧桂园天麓山,整租 | 碧桂园3房2厅保养新光线好带家具家电拎包入住。,2000,和平城区,3室     112㎡
金色领地,整租 | 温馨小家复式二房一厅家私电齐全仅租1500元,1500,源城城区,2室     64㎡
鸿翔华庭,整租 | 建设大道旁 潘多拉附近 只需1800 干净卫生人拎,1800,源城城区,3室     128㎡
坚基公馆,整租 | 坚基公馆 两房温馨舒适精装修 家电齐全 1600元起,1600,源城城区,2室     65㎡
恒大名都,整租 | 恒大名都 全新精装修二房二厅 家私电器齐全 拎包入住,1800,源城城区,2室     80㎡
阳光星座,整租 | 火车站电梯公寓 大量阳光星座全新精装一房出租,1000,源城城区,1室     39㎡
绿苑,整租 | 市一小附近 绿苑小区低层三房 家私家电齐全租120,1200,源城城区,3室     101㎡
明珠华庭,整租 | 多套旺角女人街附近 明珠华庭单间 一房一厅 拎包入住,900,源城城区,1室     45㎡
雅居乐花园,整租 | 雅居乐花园160平四房出租2900,2900,源城城区,4室     160㎡
香堤雅湾,"整租 | 3室2厅2卫2阳台2000元月,封闭小区,随时入住",2000,源城城区,3室     119㎡
恒大名都,整租 | 恒大名都 园林小区 多套二房三房 干净舒适 拎包入住,1400,源城城区,2室     80㎡
御水花园,整租 | 御水花园3房2厅带家具家电，拎包入住。,1500,和平城区,3室     120㎡
万绿春天,整租 | 万绿春天，精装修全屋家电4000元,4000,东源城区,4室     170㎡
