chaoxiang,danjia,diqu,diqu1,diqu2,diqu3,jianjie,l1,l2,l3,l4,l5,l6,louceng,square,time,zongjia,
南,7000元/㎡,中骏世界城,源城,源城城区,凤凰路,江东新区c位中骏世界城优美大四房.交通便利,4,室,2,厅,2,卫,低层(共30层),125㎡,2021年建造,87.5,
南,4834元/㎡,明源翡翠城,源城,源城城区,"高新一路,近滨江大道",高新区明源翡翠城4房2厅2卫出售，价格实惠，,4,室,2,厅,2,卫,低层(共32层),120㎡,2018年建造,58,
东南,4948元/㎡,中昂祥云府(新房),源城,源城城区,广东省河源市高新区滨江大道南开实验学校旁,首付没压力3000定房 品牌开发商 三房月供仅需3000,3,室,2,厅,2,卫,,95㎡,,47,
南,5759元/㎡,霸王花·东城国际,源城,源城城区,河源市东源县东源大道中（霸王花新城对面）,首付几万买九里湾旁高品质小区，自带,3,室,2,厅,2,卫,,95.5㎡,,55,
南北,12200元/㎡,十里东岸,紫金,紫金城区,迎客大道,十里东岸一楼带花园带地下室类似别墅,4,室,2,厅,2,卫,低层(共29层),90㎡,2016年建造,109.8,
南,5759元/㎡,霸王花·东城国际,源城,源城城区,河源市东源县东源大道中（霸王花新城对面）,县五小，首期1万霸王花东城国际三室朝南 采光好，免一年月供,3,室,2,厅,2,卫,,95.5㎡,,55,
南,5715元/㎡,御景豪园(新房),东源,东源城区,河源大道北·徐洞段,首付几万买九里湾背后滨江大盘，剩余全部贷款无需分期,3,室,2,厅,1,卫,,91㎡,,52,
东南,4948元/㎡,中昂祥云府(新房),源城,源城城区,广东省河源市高新区滨江大道南开实验学校旁,看江景红盘 中昂祥云府 毛坯 47万首期2.6W,3,室,2,厅,2,卫,,95㎡,,47,
东南,4948元/㎡,中昂祥云府(新房),源城,源城城区,广东省河源市高新区滨江大道南开实验学校旁,中昂祥云府 3室2厅2卫 95m 朝东南 约47万,3,室,2,厅,2,卫,,95㎡,,47,
南,5956元/㎡,汇景·九里湾花园,东源,东源城区,河源市源城区越王大道东,汇景九里湾一手楼盘配套齐全仅售53w,3,室,2,厅,2,卫,,89㎡,,53,
南,5680元/㎡,御景豪园(新房),东源,东源城区,河源大道北·徐洞段,老乡 爆咯 首期可分期八年,3,室,2,厅,1,卫,,91㎡,,51.69,
南北,4751元/㎡,富力天禧花园(新房),源城,源城城区,河源市·江东新区·高铁新城·东环路旁,"富力,天禧花园， 4字头,约3至5房，引爆全场，高铁旁边",3,室,2,厅,2,卫,,95㎡,,45.1,
东南,4948元/㎡,中昂祥云府(新房),源城,源城城区,广东省河源市高新区滨江大道南开实验学校旁,高新区大盘，中昂祥云府，火爆热卖,3,室,2,厅,2,卫,,95㎡,,47,
南,5715元/㎡,御景豪园(新房),东源,东源城区,河源大道北·徐洞段,几w首期买御景豪园大三房,3,室,2,厅,1,卫,,91㎡,,52,
南,5680元/㎡,御景豪园(新房),东源,东源城区,河源大道北·徐洞段,御景豪园 86万方 教育大城 91125 灵动34房,3,室,2,厅,1,卫,,91㎡,,51.69,
南,4843元/㎡,天铭苑,源城,源城城区,华达北街,"天铭苑95平46万3室1厅1卫,业主诚意抛售",3,室,1,厅,1,卫,中层(共7层),95㎡,2007年建造,46,
南,5956元/㎡,汇景·九里湾花园,东源,东源城区,河源市源城区越王大道东,东城国际旁首付几万就能住江景房.带精装5字头起,3,室,2,厅,2,卫,,89㎡,,53,
南,5956元/㎡,汇景·九里湾花园,东源,东源城区,河源市源城区越王大道东,53万买三房，首付6 万起，单价5字头，支持公积金贷款,3,室,2,厅,2,卫,,89㎡,,53,
东南,4948元/㎡,中昂祥云府(新房),源城,源城城区,广东省河源市高新区滨江大道南开实验学校旁,高新区中央活力区，滨水公园旁，43万起买3房！超大阳台特色看,3,室,2,厅,2,卫,,95㎡,,47,
南,5759元/㎡,霸王花·东城国际,源城,源城城区,河源市东源县东源大道中（霸王花新城对面）,东城国际 首 付一万 剩余两年内一次性付清 免利息,3,室,2,厅,2,卫,,95.5㎡,,55,
南北,4839元/㎡,兴业城(新房),源城,源城城区,兴业大道与高新四路交叉口东北100米,毛坯5000块钱一平，精装5800一平，楼层任选！年底冲业绩,3,室,2,厅,2,卫,,93㎡,,45,
东南,4948元/㎡,中昂祥云府(新房),源城,源城城区,广东省河源市高新区滨江大道南开实验学校旁,中昂祥云府 高铁红盘 单价4字头 一手新房找我额外有优惠哦,3,室,2,厅,2,卫,,95㎡,,47,
南,5680元/㎡,御景豪园(新房),东源,东源城区,河源大道北·徐洞段,公寓住宅 3室2厅1卫 91m 朝南北 约52万,3,室,2,厅,1,卫,,91㎡,,51.69,
南,5956元/㎡,汇景·九里湾花园,东源,东源城区,河源市源城区越王大道东,50多万买河源3房精装， ，交通便利，免费 接送,3,室,2,厅,2,卫,,89㎡,,53,
南,5371元/㎡,东方比华利山庄,源城,源城城区,宝源路100号,比华利山庄复式两层使用面积180平58万4室2厅3卫,4,室,2,厅,3,卫,中层(共18层),108㎡,2015年建造,58,
南,4746元/㎡,和平华府,和平县,和平城区,G4511,和平华府118平方31房仅售56.8万,4,室,2,厅,2,卫,高层(共19层),118㎡,2017年建造,56,
南,4734元/㎡,中天大厦,和平县,和平城区,金带路177号,南提三鸟市场旁4房2厅1卫仅售16.8万实用平面积120平方,4,室,2,厅,1,卫,共4层,99.3㎡,1992年建造,47,
南北,3963元/㎡,比华利山庄,源城,源城城区,宝源路100号,比华利山庄复式房，三房两厅南北通透，108平方仅售42.8万,3,室,2,厅,2,卫,中层(共18层),108㎡,2010年建造,42.8,
东,7151元/㎡,骏景花园(龙川),龙川,龙川城区,沿江路,骏景二期中层，精装修3房，有红本，近三小，拎包入住，三面光,3,室,2,厅,1,卫,高层(共20层),106㎡,2017年建造,75.8,
东南,4792元/㎡,富达居,源城,源城城区,华达北街227号,客家公园旁，公园西 富达居实用3房，仅售46万,3,室,2,厅,1,卫,中层(共8层),96㎡,2016年建造,46,
南,6821元/㎡,家和江畔湾,龙川,龙川城区,老隆大道,江畔湾二期一线江景 全新毛坯 格局方正 视野开阔 交通便利,3,室,2,厅,2,卫,高层(共19层),117㎡,2016年建造,79.8,
南,6993元/㎡,西岸悦湾,龙川,龙川城区,沿江西路,沿江路西岸悦湾，全江景房，视野广阔，三面光，朝南，位置好,3,室,2,厅,2,卫,低层(共28层),127㎡,2018年建造,88.8,
南北,7159元/㎡,雅居乐花园新地,源城,源城城区,文昌路,年底急售带车位卖 雅居乐新地 南北通透花园中间,5,室,2,厅,2,卫,低层(共32层),145㎡,2018年建造,103.8,
南,6012元/㎡,万达广场,东源,东源城区,东江大道,河源万达广场CBD 惊爆价6字头 50多万 万达3房,3,室,2,厅,2,卫,低层(共28层),96㎡,2021年建造,57.7,
南北,10000元/㎡,东江湾名门世家,源城,源城城区,"红星东路,近永康大道",带平台340平方！名门世家复式4房！,4,室,2,厅,3,卫,低层(共30层),175㎡,2018年建造,175,
南北,7462元/㎡,坚基美好城,源城,源城城区,越王大道139号,宽阔四房 双卧主卧设计 南北对流双阳台外加厨房阳台 坚基旁,4,室,2,厅,3,卫,低层(共31层),163.2㎡,2016年建造,121.8,
南北,8945元/㎡,碧桂园凤凰湾,源城,源城城区,东环路,低于市场价急售高铁新城区 碧桂园凤凰湾精装四房未入住,4,室,2,厅,2,卫,低层(共33层),143㎡,2019年建造,127.9,
南北,8710元/㎡,坚基美好城,源城,源城城区,越王大道139号,带车位 花园中间 正南北朝向 钥匙在手看房方便 过二税费低,4,室,2,厅,2,卫,低层(共31层),141㎡,2016年建造,122.8,
南北,4616元/㎡,东海国际新城,东源,东源城区,河源大道,8首付，东海国际，毛坯4房，急售60万，亏本30万,4,室,2,厅,2,卫,低层(共24层),130㎡,2017年建造,60,
南北,8264元/㎡,坚基美丽城,源城,源城城区,"永祥路,近文祥路",美丽城 花园中间 朝南四房 不靠医院 坚基商圈 美好城旁,4,室,2,厅,2,卫,中层(共32层),144㎡,2017年建造,119,
南北,9135元/㎡,坚基美好城,源城,源城城区,越王大道139号,美好城全新装修未入住 教育生活配套齐全 高层无遮挡 坚基旁,4,室,2,厅,2,卫,高层(共31层),141㎡,2017年建造,128.8,
南北,4875元/㎡,雍和园,东源,东源城区,205国道,雍和园 朝东南 四加一 中间楼层 不靠马路 位置安静采光好,4,室,2,厅,2,卫,高层(共26层),135㎡,2015年建造,65.8,
南北,8518元/㎡,碧桂园凤凰湾,源城,源城城区,东环路,保利双塔闪耀 河源城市新高度 碧桂园凤凰湾（首付低35万起）,4,室,2,厅,2,卫,低层(共30层),143㎡,2019年建造,121.8,
南北,8820元/㎡,碧桂园凤凰湾,源城,源城城区,东环路,大湾区东塔 中骏世界城商圈 低调的奢华 碧桂园 毛坯价格急售,4,室,2,厅,3,卫,低层(共30层),188㎡,2019年建造,165.8,
南,7688元/㎡,宝豪御龙湾二期,源城,源城城区,新兴路101号,高铁站旁 御龙湾 精装修 朝南 磁砖上墙 江景房 就在楼下,3,室,2,厅,1,卫,低层(共33层),96㎡,2016年建造,73.8,
南,5759元/㎡,霸王花·东城国际,源城,源城城区,河源市东源县东源大道中（霸王花新城对面）,东城国际大型生活小区，一手免，佣代理。,3,室,2,厅,2,卫,,95.5㎡,,55,
南,5680元/㎡,御景豪园(新房),东源,东源城区,河源大道北·徐洞段,御景豪园一手免，佣代理，首，付仅2w,3,室,2,厅,1,卫,,91㎡,,51.69,
南,5680元/㎡,御景豪园(新房),东源,东源城区,河源大道北·徐洞段,40个多W可置业东源笋盘御景豪园刚需3室！国庆放价！抄底兜售,3,室,2,厅,1,卫,,91㎡,,51.69,
南,5956元/㎡,汇景·九里湾花园,东源,东源城区,河源市源城区越王大道东,3万首付九里湾大型社区， 免费带看还享额外98折精装三房,3,室,2,厅,2,卫,,89㎡,,53,
东南,4948元/㎡,中昂祥云府(新房),源城,源城城区,广东省河源市高新区滨江大道南开实验学校旁,首期3千 买3房 送家电 近学 校 支持公积贷款,3,室,2,厅,2,卫,,95㎡,,47,
南,5956元/㎡,汇景·九里湾花园,东源,东源城区,河源市源城区越王大道东,公寓住宅 3室2厅2卫 89m 朝南 约62万,3,室,2,厅,2,卫,,89㎡,,53,
南北,5329元/㎡,万绿桃源,源城,源城城区,"越王大道,文昌路",万达广场旁！万绿桃源南北通透4房73万,4,室,2,厅,2,卫,低层(共25层),137㎡,2018年建造,73,
南,5569元/㎡,雅居乐花园,源城,源城城区,越王大道247号,市区雅居乐明珠城清栋82折单价5300一平月供2000送家私,3,室,2,厅,2,卫,中层(共30层),88㎡,2020年建造,49,
南,5671元/㎡,龙光城,源城,源城城区,河源大道,50万 带精装龙光城 免一年月供 送车位 送3年物业费,3,室,2,厅,2,卫,中层(共31层),88㎡,2019年建造,49.9,
南,5235元/㎡,兴业城,源城,源城城区,兴业大道,首 付 3万 分期5年 高新区CBD 兴业城 近公立 学 校,3,室,2,厅,2,卫,高层(共31层),91.7㎡,2019年建造,48,
南,5243元/㎡,中昂祥云府,源城,源城城区,科技七路,高新区中昂祥云府 单价5字头入住高端小区 毛坯格局任意改动,3,室,2,厅,2,卫,中层(共32层),95㎡,2021年建造,49.8,
南,5613元/㎡,河源美的城,东源,东源城区,东环路,河源美的城 55万买朝南智能精装3房 支持公积金贷款,3,室,2,厅,2,卫,中层(共32层),98㎡,2018年建造,55,
南北,5677元/㎡,龙光城,源城,源城城区,河源大道,首 付 3 万 买精装龙光城 总价48万起 找我享受员工价,3,室,2,厅,2,卫,中层(共33层),88㎡,2019年建造,49.95,
南北,5579元/㎡,龙光城,源城,源城城区,河源大道,单价5字头 首期5千起 送车位 免首年月供 再送全屋家电,3,室,2,厅,2,卫,中层(共33层),95㎡,2020年建造,53,
南,5579元/㎡,万达广场,东源,东源城区,东江大道,万达广场7折现房元旦清盘价低至5000一平免团毛坯装修均可选,3,室,2,厅,2,卫,中层(共32层),95㎡,2021年建造,53,
南北,5506元/㎡,汇景九里湾,东源,东源城区,东源大道,汇景九里湾 带装修 49万买三房 南北通透 近学 校 近万达,3,室,2,厅,1,卫,中层(共31层),89㎡,2019年建造,49,
南,6064元/㎡,万达广场,东源,东源城区,东江大道,万达越祥湾新品加推 单价6字头起 限量 有,3,室,2,厅,2,卫,低层(共32层),96.3㎡,2019年建造,58.4,
南,7243元/㎡,中骏世界城,源城,源城城区,凤凰路,江东新区核心位置，66w买可看江景的大三房,3,室,2,厅,2,卫,低层(共30层),95㎡,2021年建造,68.8,
南北,6075元/㎡,万达广场,东源,东源城区,东江大道,万达广场越祥湾，大三房两厅南北通，96.3平方仅售58万,3,室,2,厅,2,卫,低层(共32层),96.3㎡,2019年建造,58.5,
南,5685元/㎡,万达广场,东源,东源城区,东江大道,万达广场 54万买3房 送家电 支持公积金贷款首付5 万,3,室,2,厅,2,卫,中层(共31层),95㎡,2018年建造,54,
南,8000元/㎡,美的云筑,东源,东源城区,新河大道,捡漏价！毛胚价买豪华智能精装3房 可随时看房,3,室,2,厅,2,卫,低层(共32层),95㎡,2021年建造,76,
南,5264元/㎡,中昂祥云府,源城,源城城区,科技七路,40万买朝南3房.看江景.支持公积金,3,室,2,厅,2,卫,低层(共33层),95㎡,2021年建造,50,
西南,10000元/㎡,东江湾名门世家,源城,源城城区,"红星东路,近永康大道",340平米大平台笋房 名门世家175平方复式4房 深河四小,4,室,2,厅,3,卫,低层(共31层),175㎡,2017年建造,175,
南,5572元/㎡,碧桂园未来城,源城,源城城区,河源大道,手里5千买市区碧桂园元旦8折单价低至五千三月供2200精装修,3,室,2,厅,2,卫,中层(共32层),98㎡,2020年建造,54.6,
南北,6011元/㎡,万达广场,东源,东源城区,东江大道,万达CBD 单价5字头起 靠江边 靠三小,3,室,2,厅,2,卫,低层(共33层),96㎡,2021年建造,57.7,
东南,5230元/㎡,兴业城,源城,源城城区,兴业大道,首 付 3 万 兴业城 近 学 校 高新区 中心位置,3,室,2,厅,2,卫,中层(共31层),91.8㎡,2019年建造,48,
南北,7904元/㎡,碧桂园凤凰湾,源城,源城城区,东环路,江东新区碧桂园凤凰湾南北通户型精装三房出售,3,室,2,厅,2,卫,低层(共17层),124㎡,2018年建造,98,
南北,9309元/㎡,碧桂园凤凰湾,源城,源城城区,东环路,靠近碧桂园中 的碧桂园凤凰湾B区 大四房主阳台看花园朝南,4,室,2,厅,2,卫,低层(共33层),188㎡,2019年建造,175,
南北,7103元/㎡,雅居乐君悦,源城,源城城区,文昌路,雅居乐君悦 双主卧三代同堂住宽敞大四房 现房急售南北通透,4,室,2,厅,3,卫,低层(共32层),176㎡,2018年建造,125,
南北,5171元/㎡,万绿桃源,源城,源城城区,"越王大道,文昌路",万达商圈！万绿桃源69.8万！135平米毛坯四房二厅中层,4,室,2,厅,2,卫,低层(共26层),135㎡,2013年建造,69.8,
东南,7597元/㎡,东江首府,源城,源城城区,沿江东路188号,东江湾单价7字头，东江 ，前后大阳台，一线江景，有钥匙,4,室,2,厅,2,卫,低层(共31层),263㎡,2011年建造,199.8,
南北,9015元/㎡,坚基美好城,源城,源城城区,越王大道139号,坚基美好城拎包入住，房子保养新，业主换置别墅,4,室,2,厅,2,卫,低层(共31层),142㎡,2016年建造,128,
南北,5264元/㎡,振业深河湾,源城,源城城区,高新一路,（品质靓房）国庆大促销首负3W单价4字头 轻松置业国家高新区,4,室,2,厅,2,卫,低层(共32层),95㎡,2020年建造,50,
西南,5825元/㎡,御江帝景湾,东源,东源城区,"沿江西路,近纬十六路",御江帝景湾4室2厅3卫,4,室,2,厅,3,卫,低层(共28层),128.8㎡,,75,
东南,6422元/㎡,雍和园,东源,东源城区,205国道,大家庭大户型 崇文旁 东南靓朝向 钥匙在手 看房方便 万达旁,5,室,2,厅,2,卫,低层(共26层),138.6㎡,2018年建造,89,
南北,8654元/㎡,雅居乐花园,源城,源城城区,越王大道247号,雅居乐一期南北通透精装一房两厅一卫，中间楼层,1,室,2,厅,1,卫,低层(共15层),52㎡,2008年建造,45,
南北,6740元/㎡,江山一品,源城,源城城区,"越王大道,近纬十五路",江山一品 四房二厅 现房急售仅这一套 南北通透高楼层,4,室,2,厅,2,卫,高层(共32层),138㎡,2018年建造,93,
东南,7084元/㎡,坚基美丽城,源城,源城城区,"永祥路,近文祥路",首|附18万，坚基美丽城，带200平方平台，公园东 对面,3,室,2,厅,2,卫,低层(共28层),96㎡,2017年建造,68,
南,4150元/㎡,龙宸华府,龙川,龙川城区,文德路,龙城三杯鸭，红本在手，五房两厅两卫，送全屋家私家，保养很好,5,室,2,厅,2,卫,中层(共8层),120㎡,2005年建造,49.8,
南,6236元/㎡,敏捷悦江府,源城,源城城区,科技七路,心动价6字头买带智能精装可看江景大三房,3,室,2,厅,2,卫,中层(共25层),85㎡,2021年建造,53,
东南,6872元/㎡,雅居乐花园,源城,源城城区,越王大道247号,超笋，超抵！低首期25万加送20平米房间5大房带入户花园,5,室,2,厅,2,卫,低层(共32层),140.9㎡,2016年建造,96.8,
南,7913元/㎡,碧桂园东江凤凰城,源城,源城城区,东环路,碧桂园东江凤凰城3室2厅1卫,3,室,2,厅,1,卫,低层(共28层),91㎡,,72,
东南,3589元/㎡,金沟湾,源城,源城城区,站前路,笋房急售 金沟湾整栋2层 全新装修6房2厅2卫仅售48.8万,6,室,2,厅,2,卫,共2层,136㎡,1994年建造,48.8,
西南,3238元/㎡,朱门亭,源城,源城城区,河源大道南226号,笋房售朱门亭整栋3层带小院50平可停车5房129平仅售45万,5,室,2,厅,1,卫,共3层,139㎡,1992年建造,45,
南北,7261元/㎡,雅居乐花园新地,源城,源城城区,文昌路,106万买雅居乐新地全新精装5房2厅2卫还送一个小花园！,5,室,2,厅,2,卫,低层(共32层),146㎡,2019年建造,106,
东北,3689元/㎡,共和苑,龙川,龙川城区,人民路,商贸城华光市场精装五房格局靓大气上档次地段优越近 市场江边,5,室,2,厅,2,卫,中层(共8层),135㎡,2008年建造,49.8,
东南,3724元/㎡,鸿福大厦,龙川,龙川城区,东风西路,文化广场附近2楼 122平方5房2厅2卫 全新精装修交通便利,5,室,2,厅,2,卫,低层(共8层),123㎡,2000年建造,45.8,
南北,8731元/㎡,河源星河丹堤,源城,源城城区,河源市江东新区城市建设起步区建设大道南面、东环路东边,星河丹堤 江东新区 高铁新城 精装交付 工程单价7800,4,室,2,厅,2,卫,,126㎡,,110,
东南,7925元/㎡,雅居乐花园,源城,源城城区,越王大道247号,低首期 雅居乐大4房3卫空间大 格局好户型方正 舒适安静,4,室,2,厅,3,卫,低层(共28层),159㎡,2016年建造,126,
南北,10257元/㎡,东江湾,源城,源城城区,永祥路666号,超笋房 东江湾前排234平方4加1房 南北通透,4,室,2,厅,3,卫,低层(共29层),234㎡,2016年建造,240,
南北,7504元/㎡,万隆一品,源城,源城城区,永和西路169号,客家公园旁，万隆一品南北通透大4房，适合改善的你,4,室,2,厅,2,卫,低层(共18层),129㎡,2011年建造,96.8,
南北,8700元/㎡,河源星河丹堤,源城,源城城区,河源市江东新区城市建设起步区建设大道南面、东环路东边,高铁新城 凤凰台，中骏世界城，星河丹堤 精装四房,4,室,2,厅,2,卫,,126㎡,,109.62,
南北,8700元/㎡,河源星河丹堤,源城,源城城区,河源市江东新区城市建设起步区建设大道南面、东环路东边,河源星河丹堤，3至5房，华附 ，找我折上折,4,室,2,厅,2,卫,,126㎡,,109.62,
南,7787元/㎡,河源万达CBD,东源,东源城区,广东省河源市深业路与东江大道交汇处,单价七千买万达商圈大型社区四房,4,室,2,厅,2,卫,,122㎡,,95,
南北,7500元/㎡,碧桂园凤凰台(新房),源城,源城城区,河源市江东新区建设大道东南侧（碧桂园凤凰山东北侧）,碧桂园凤凰台 精装交付工程价额外9折 4房91万,4,室,2,厅,2,卫,,125㎡,,93.75,
南,7787元/㎡,河源万达CBD,东源,东源城区,广东省河源市深业路与东江大道交汇处,万达广场单价5字头起，3房50来万，4房60万,4,室,2,厅,2,卫,,122㎡,,95,
南,7287元/㎡,河源美的城(新房),东源,东源城区,河源·江东新区旁东环路（河源中学实验学校旁）,首付几万买精装大盘，单价5字头清盘啦清盘啦,4,室,2,厅,2,卫,,129㎡,,94,
南北,7830元/㎡,河源美的云筑,东源,东源城区,河源市东源县新河大道东源县城综合市场对面,万达旁清栋单价6千任选.3房60万4房70来万，带精装,4,室,2,厅,2,卫,,129㎡,,101,
南,7287元/㎡,河源美的城(新房),东源,东源城区,河源·江东新区旁东环路（河源中学实验学校旁）,百强企业美的城带精装仅需60w来,4,室,2,厅,2,卫,,129㎡,,94,
南北,7830元/㎡,河源美的云筑,东源,东源城区,河源市东源县新河大道东源县城综合市场对面,60w起买美的云筑智慧精装房,4,室,2,厅,2,卫,,129㎡,,101,
南北,7752元/㎡,河源万达CBD,东源,东源城区,广东省河源市深业路与东江大道交汇处,万达CBD 万达开业季 单价6字字头 售楼部直销 免团购费,4,室,2,厅,2,卫,,129㎡,,100,
南北,7752元/㎡,河源万达CBD,东源,东源城区,广东省河源市深业路与东江大道交汇处,万达越祥湾 一期清盘钜惠 毛坯4房83万,4,室,2,厅,2,卫,,129㎡,,100,
南,5562元/㎡,雅居乐花园,源城,源城城区,越王大道247号,市区雅居乐明珠城元旦8折单价低至五千每平米月供1800送家私,3,室,2,厅,2,卫,中层(共32层),89㎡,2021年建造,49.5,
南北,5579元/㎡,万达广场,东源,东源城区,东江大道,万达广场7折现房元旦清盘价低至5100一平免团毛坯装修均可选,3,室,2,厅,2,卫,中层(共32层),95㎡,2021年建造,53,
南,5541元/㎡,碧桂园未来城,源城,源城城区,河源大道,手里5千买市区碧桂园元旦8折单价低至五千三月供2200精装修,3,室,2,厅,2,卫,高层(共33层),98㎡,2020年建造,54.3,
南,7787元/㎡,河源万达CBD,东源,东源城区,广东省河源市深业路与东江大道交汇处,万达广场CBD 万达开业季 单价5千多 售楼部直销 免团购费,4,室,2,厅,2,卫,,122㎡,,95,
南北,7760元/㎡,河源万达CBD,东源,东源城区,广东省河源市深业路与东江大道交汇处,河源CBD 万达广场 南北通四房 便宜过周边二手房,4,室,2,厅,2,卫,,125㎡,,97,
南北,9167元/㎡,汇景外滩8号,源城,源城城区,纬十五路,汇景外滩8号， 全江景，东南，看江,5,室,2,厅,2,卫,低层(共31层),180㎡,2015年建造,165,
南北,7500元/㎡,碧桂园凤凰台(新房),源城,源城城区,河源市江东新区建设大道东南侧（碧桂园凤凰山东北侧）,碧桂园凤凰台 南北通透 户型方正,4,室,2,厅,2,卫,,125㎡,,93.75,
南,7287元/㎡,河源美的城(新房),东源,东源城区,河源·江东新区旁东环路（河源中学实验学校旁）,美的城 清盘一口价 单价5字头 智能精装 现楼 便宜过售楼部,4,室,2,厅,2,卫,,129㎡,,94,
南北,7760元/㎡,河源万达CBD,东源,东源城区,广东省河源市深业路与东江大道交汇处,格一口价万达广场 ，125平方只需75万。,4,室,2,厅,2,卫,,125㎡,,97,
南,5969元/㎡,新河中央,东源,东源城区,新河大道,总价76万买大五房.首笔5万搞定.还有车位送,5,室,2,厅,2,卫,低层(共32层),127㎡,2021年建造,75.8,
南北,7159元/㎡,鸿大城,源城,源城城区,"文昌路,近纬十二路",超低价！鸿大城四房毛坯南北通透，户型格局好南北通透，业主急卖,4,室,2,厅,2,卫,低层(共21层),137.7㎡,2017年建造,98.6,
南北,7543元/㎡,万隆一品,源城,源城城区,永和西路169号,万隆一品，4房，南北通透，看花园，两梯三户仅售96.8万,4,室,2,厅,2,卫,低层(共18层),128.3㎡,2012年建造,96.8,
南,5358元/㎡,香堤雅湾,源城,源城城区,滨江大道288号,香堤雅湾 精装电梯2房 可看江景,2,室,2,厅,1,卫,中层(共11层),84㎡,2010年建造,45,
北,6303元/㎡,泰华城,龙川,龙川城区,125乡道,泰华城小区 四房 红本在手 南北通透 带一个入户花园 近一小,4,室,2,厅,2,卫,中层(共15层),152㎡,2013年建造,95.8,
东,6303元/㎡,泰华城,龙川,龙川城区,125乡道,泰华城D区，大4房加一大入户花园，采光好，地段好小区大环境好,4,室,2,厅,2,卫,中层(共15层),152㎡,2015年建造,95.8,
南北,5917元/㎡,新龙花园,龙川,龙川城区,东风西路,新龙二期 房源！167平方大4房2厅2卫2阳台豪华装修,4,室,2,厅,2,卫,低层(共16层),167㎡,2013年建造,98.8,
南,6471元/㎡,翡翠星城,源城,源城城区,建设大道22号,翡翠星城2室2厅1卫55万85平方米,2,室,2,厅,1,卫,中层(共18层),85㎡,2014年建造,55,
北,8484元/㎡,雅居乐花园,源城,源城城区,越王大道247号,雅居乐花园二期，花园中间，豪华装修，四房两厅两卫,4,室,2,厅,2,卫,高层(共32层),129.7㎡,2018年建造,110,
南北,8060元/㎡,华达新城,源城,源城城区,"永和东路,近越王大道",深河醉，笋！单价7字头买华达新城4房,4,室,2,厅,2,卫,中层(共32层),134㎡,2018年建造,108,
南,6476元/㎡,德欣豪庭,源城,源城城区,建设大道121号,德欣豪庭 全新精装 三房二厅 市中心地段出现方便,3,室,2,厅,2,卫,低层(共16层),122㎡,2015年建造,79,
东南,7539元/㎡,雅居乐花园,源城,源城城区,越王大道247号,雅居乐四房花园中间130平方三面光急售98万,4,室,2,厅,2,卫,高层(共32层),130㎡,2015年建造,98,
南北,8031元/㎡,万隆一品,源城,源城城区,永和西路169号,公园西康宁 附近万隆一品精装4房瓷砖上墙仅售106万,4,室,2,厅,2,卫,中层(共18层),132㎡,2010年建造,106,
南,8693元/㎡,雅居乐花园,源城,源城城区,越王大道247号,精装修 124平 满二 雅居乐花园 居家自住 保养好,4,室,2,厅,2,卫,高层(共32层),124.2㎡,2018年建造,108,
西南,7281元/㎡,雅居乐君悦,源城,源城城区,文昌路,位置，花园中间雅居乐君悦3室2厅2卫90万,3,室,2,厅,2,卫,高层(共32层),123.6㎡,2017年建造,90,
南北,6400元/㎡,坚基·风光里,源城,源城城区,河源市源城区滨江大道西（宝马4S店旁）,钓鱼台 高铁新城 江景精装三房 48万,2,室,2,厅,1,卫,,75㎡,,48,
南北,5999元/㎡,龙光城(新房),源城,源城城区,源南镇河源大道与创业大道交汇处,高手旁龙光城一手精装三房子,2,室,2,厅,2,卫,,89㎡,,53.39,
东南,7986元/㎡,十里东岸,紫金,紫金城区,迎客大道,十里东岸4室2厅2卫 高性价比,4,室,2,厅,2,卫,低层(共19层),134㎡,,107,
东南,7986元/㎡,十里东岸,紫金,紫金城区,迎客大道,十里东岸绿卡4室2厅2卫，， 高性价比价格可谈诚心出售,4,室,2,厅,2,卫,低层(共19层),134㎡,,107,
南,8614元/㎡,万隆一品,源城,源城城区,永和西路169号,万隆一品 豪华装修 瓷片上墙 4加1房 钥匙在手，中间楼层,4,室,2,厅,2,卫,中层(共12层),137㎡,2012年建造,118,
西北,6704元/㎡,新龙花园,龙川,龙川城区,东风西路,新龙花园二期四房两厅两卫双阳台朝花园全部瓷片上墙拎包入住,4,室,2,厅,2,卫,中层(共15层),125㎡,2015年建造,83.8,
东,8060元/㎡,华达新城,源城,源城城区,"永和东路,近越王大道",深河 巨笋 捡漏 华达新城南北通毛坯4房可改5房,4,室,2,厅,2,卫,中层(共32层),134㎡,2014年建造,108,
南北,4800元/㎡,龙光玖誉湖(新房),源城,源城城区,河源市源城区万绿湖大道旁,5千块能干嘛跟我来我带您买套玖誉湖精装3房 万绿湖养生,2,室,2,厅,2,卫,,94㎡,,45.12,
南北,5999元/㎡,龙光城(新房),源城,源城城区,源南镇河源大道与创业大道交汇处,50来万买3房精装修 朝南 送车位 送家电 支持公积金贷款,2,室,2,厅,2,卫,,89㎡,,53.39,
南,5615元/㎡,碧桂园东江凤凰城,源城,源城城区,东环路,高铁新城碧桂园凤凰城135平单价只要5字头，急售，证在手,3,室,2,厅,2,卫,中层(共17层),135㎡,2013年建造,75.8,
